INFORMACION BIMESTRAL 2021 - IV Bim.      Ambito JUNTOS;;;;;;;;
Reporte al 03/10/2021 12:35:31;;;;;;;;
#;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;HOGARES AFILIADOS;HOGARES ABONADOS;MIEMBROS OBJETIVOS;TRANSFERENCIA
1;10202;AMAZONAS;BAGUA;ARAMANGO;1072;1063;2194;211100
2;10203;AMAZONAS;BAGUA;COPALLIN;542;540;877;107000
3;10204;AMAZONAS;BAGUA;EL PARCO;150;149;250;29700
4;10205;AMAZONAS;BAGUA;IMAZA;3962;3766;10388;741800
5;10206;AMAZONAS;BAGUA;LA PECA;754;745;1248;148400
6;10302;AMAZONAS;BONGARA;CHISQUILLA;37;37;77;7300
7;10303;AMAZONAS;BONGARA;CHURUJA;9;9;16;1800
8;10304;AMAZONAS;BONGARA;COROSHA;118;117;230;23300
9;10305;AMAZONAS;BONGARA;CUISPES;53;53;100;10500
10;10306;AMAZONAS;BONGARA;FLORIDA;228;230;413;45500
11;10307;AMAZONAS;BONGARA;JAZAN;333;334;588;66700
12;10301;AMAZONAS;BONGARA;JUMBILLA;64;64;122;12700
13;10308;AMAZONAS;BONGARA;RECTA;22;22;35;4300
14;10310;AMAZONAS;BONGARA;SHIPASBAMBA;140;139;265;27800
15;10311;AMAZONAS;BONGARA;VALERA;45;45;68;9000
16;10312;AMAZONAS;BONGARA;YAMBRASBAMBA;590;584;1161;116100
17;10102;AMAZONAS;CHACHAPOYAS;ASUNCION;22;21;41;4000
18;10103;AMAZONAS;CHACHAPOYAS;BALSAS;103;102;231;20000
19;10104;AMAZONAS;CHACHAPOYAS;CHETO;44;43;70;8400
20;10105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;71;70;116;14000
21;10106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;197;195;425;38700
22;10107;AMAZONAS;CHACHAPOYAS;GRANADA;20;20;38;4000
23;10108;AMAZONAS;CHACHAPOYAS;HUANCAS;22;22;36;4400
24;10109;AMAZONAS;CHACHAPOYAS;LA JALCA;631;623;1392;123600
25;10110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;300;288;580;57000
26;10111;AMAZONAS;CHACHAPOYAS;LEVANTO;52;52;94;10400
27;10112;AMAZONAS;CHACHAPOYAS;MAGDALENA;70;67;138;13400
28;10113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;69;66;125;13000
29;10114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;191;189;359;37600
30;10115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;36;35;75;7000
31;10116;AMAZONAS;CHACHAPOYAS;OLLEROS;29;29;39;5800
32;10117;AMAZONAS;CHACHAPOYAS;QUINJALCA;97;96;165;19000
33;10118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;5;5;11;1000
34;10119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;42;42;81;8400
35;10120;AMAZONAS;CHACHAPOYAS;SOLOCO;114;113;202;22500
36;10121;AMAZONAS;CHACHAPOYAS;SONCHE;18;19;38;3800
37;10402;AMAZONAS;CONDORCANQUI;EL CENEPA;1772;1704;5131;335600
